GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proj-rec,edu.ucsb.cs156.rec.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,RestaurantsController,0,104,0,0,0,21,0,9,0,9
proj-rec,edu.ucsb.cs156.rec.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
proj-rec,edu.ucsb.cs156.rec.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,UCSBDiningCommonsController,0,141,0,0,0,31,0,10,0,10
proj-rec,edu.ucsb.cs156.rec.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
proj-rec,edu.ucsb.cs156.rec.controllers,UCSBDatesController,0,119,0,0,0,25,0,10,0,10
proj-rec,edu.ucsb.cs156.rec.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
proj-rec,edu.ucsb.cs156.rec.services,SystemInfoServiceImpl,0,27,0,0,0,9,0,3,0,3
proj-rec,edu.ucsb.cs156.rec.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
proj-rec,edu.ucsb.cs156.rec.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
